value,classification,date
59,Greed,2023-03-28
57,Greed,2023-03-29
60,Greed,2023-03-30
63,Greed,2023-03-31
61,Greed,2023-04-01
63,Greed,2023-04-02
63,Greed,2023-04-03
62,Greed,2023-04-04
62,Greed,2023-04-05
63,Greed,2023-04-06
64,Greed,2023-04-07
61,Greed,2023-04-08
61,Greed,2023-04-09
62,Greed,2023-04-10
68,Greed,2023-04-11
65,Greed,2023-04-12
61,Greed,2023-04-13
68,Greed,2023-04-14
68,Greed,2023-04-15
68,Greed,2023-04-16
69,Greed,2023-04-17
58,Greed,2023-04-18
63,Greed,2023-04-19
52,Neutral,2023-04-20
50,Neutral,2023-04-21
53,Neutral,2023-04-22
56,Greed,2023-04-23
53,Neutral,2023-04-24
53,Neutral,2023-04-25
56,Greed,2023-04-26
59,Greed,2023-04-27
64,Greed,2023-04-28
64,Greed,2023-04-29
60,Greed,2023-04-30
63,Greed,2023-05-01
55,Greed,2023-05-02
64,Greed,2023-05-03
64,Greed,2023-05-04
61,Greed,2023-05-05
60,Greed,2023-05-06
64,Greed,2023-05-07
60,Greed,2023-05-08
51,Neutral,2023-05-09
52,Neutral,2023-05-10
52,Neutral,2023-05-11
49,Neutral,2023-05-12
48,Neutral,2023-05-13
48,Neutral,2023-05-14
50,Neutral,2023-05-15
54,Neutral,2023-05-16
50,Neutral,2023-05-17
51,Neutral,2023-05-18
48,Neutral,2023-05-19
48,Neutral,2023-05-20
52,Neutral,2023-05-21
49,Neutral,2023-05-22
50,Neutral,2023-05-23
50,Neutral,2023-05-24
51,Neutral,2023-05-25
49,Neutral,2023-05-26
48,Neutral,2023-05-27
50,Neutral,2023-05-28
52,Neutral,2023-05-29
51,Neutral,2023-05-30
51,Neutral,2023-05-31
52,Neutral,2023-06-01
50,Neutral,2023-06-02
53,Neutral,2023-06-03
52,Neutral,2023-06-04
53,Neutral,2023-06-05
44,Fear,2023-06-06
53,Neutral,2023-06-07
50,Neutral,2023-06-08
50,Neutral,2023-06-09
49,Neutral,2023-06-10
47,Neutral,2023-06-11
47,Neutral,2023-06-12
45,Neutral,2023-06-13
46,Neutral,2023-06-14
41,Fear,2023-06-15
47,Neutral,2023-06-16
47,Neutral,2023-06-17
49,Neutral,2023-06-18
47,Neutral,2023-06-19
49,Neutral,2023-06-20
59,Greed,2023-06-21
65,Greed,2023-06-22
65,Greed,2023-06-23
62,Greed,2023-06-24
64,Greed,2023-06-25
55,Greed,2023-06-26
59,Greed,2023-06-27
62,Greed,2023-06-28
54,Neutral,2023-06-29
56,Greed,2023-06-30
59,Greed,2023-07-01
63,Greed,2023-07-02
62,Greed,2023-07-03
64,Greed,2023-07-04
61,Greed,2023-07-05
56,Greed,2023-07-06
55,Greed,2023-07-07
58,Greed,2023-07-08
55,Greed,2023-07-09
56,Greed,2023-07-10
57,Greed,2023-07-11
64,Greed,2023-07-12
57,Greed,2023-07-13
60,Greed,2023-07-14
56,Greed,2023-07-15
57,Greed,2023-07-16
54,Neutral,2023-07-17
56,Greed,2023-07-18
50,Neutral,2023-07-19
56,Greed,2023-07-20
50,Neutral,2023-07-21
52,Neutral,2023-07-22
54,Neutral,2023-07-23
55,Greed,2023-07-24
50,Neutral,2023-07-25
51,Neutral,2023-07-26
51,Neutral,2023-07-27
52,Neutral,2023-07-28
52,Neutral,2023-07-29
52,Neutral,2023-07-30
50,Neutral,2023-07-31
53,Neutral,2023-08-01
53,Neutral,2023-08-02
52,Neutral,2023-08-03
54,Neutral,2023-08-04
50,Neutral,2023-08-05
49,Neutral,2023-08-06
49,Neutral,2023-08-07
54,Neutral,2023-08-08
50,Neutral,2023-08-09
53,Neutral,2023-08-10
51,Neutral,2023-08-11
54,Neutral,2023-08-12
54,Neutral,2023-08-13
50,Neutral,2023-08-14
53,Neutral,2023-08-15
52,Neutral,2023-08-16
50,Neutral,2023-08-17
37,Fear,2023-08-18
39,Fear,2023-08-19
37,Fear,2023-08-20
38,Fear,2023-08-21
37,Fear,2023-08-22
37,Fear,2023-08-23
41,Fear,2023-08-24
39,Fear,2023-08-25
38,Fear,2023-08-26
38,Fear,2023-08-27
39,Fear,2023-08-28
39,Fear,2023-08-29
49,Neutral,2023-08-30
52,Neutral,2023-08-31
40,Fear,2023-09-01
39,Fear,2023-09-02
40,Fear,2023-09-03
40,Fear,2023-09-04
40,Fear,2023-09-05
42,Fear,2023-09-06
41,Fear,2023-09-07
46,Neutral,2023-09-08
41,Fear,2023-09-09
40,Fear,2023-09-10
40,Fear,2023-09-11
30,Fear,2023-09-12
41,Fear,2023-09-13
45,Neutral,2023-09-14
45,Neutral,2023-09-15
43,Fear,2023-09-16
46,Neutral,2023-09-17
46,Neutral,2023-09-18
46,Neutral,2023-09-19
47,Neutral,2023-09-20
47,Neutral,2023-09-21
43,Fear,2023-09-22
47,Neutral,2023-09-23
44,Fear,2023-09-24
47,Neutral,2023-09-25
46,Neutral,2023-09-26
44,Fear,2023-09-27
46,Neutral,2023-09-28
48,Neutral,2023-09-29
47,Neutral,2023-09-30
48,Neutral,2023-10-01
50,Neutral,2023-10-02
50,Neutral,2023-10-03
49,Neutral,2023-10-04
48,Neutral,2023-10-05
50,Neutral,2023-10-06
49,Neutral,2023-10-07
50,Neutral,2023-10-08
50,Neutral,2023-10-09
50,Neutral,2023-10-10
47,Neutral,2023-10-11
45,Neutral,2023-10-12
44,Fear,2023-10-13
47,Neutral,2023-10-14
45,Neutral,2023-10-15
47,Neutral,2023-10-16
52,Neutral,2023-10-17
50,Neutral,2023-10-18
52,Neutral,2023-10-19
53,Neutral,2023-10-20
63,Greed,2023-10-21
53,Neutral,2023-10-22
53,Neutral,2023-10-23
66,Greed,2023-10-24
72,Greed,2023-10-25
71,Greed,2023-10-26
70,Greed,2023-10-27
65,Greed,2023-10-28
72,Greed,2023-10-29
68,Greed,2023-10-30
66,Greed,2023-10-31
66,Greed,2023-11-01
72,Greed,2023-11-02
65,Greed,2023-11-03
68,Greed,2023-11-04
70,Greed,2023-11-05
74,Greed,2023-11-06
68,Greed,2023-11-07
66,Greed,2023-11-08
69,Greed,2023-11-09
70,Greed,2023-11-10
70,Greed,2023-11-11
